epoch,train_loss,test_acc
1,1.579023648300171,0.5419
2,1.2424458667755127,0.6319
3,1.0139372430419922,0.6953
4,0.8344610695266723,0.7114
5,0.7339502485656738,0.7454
6,0.6563063259887695,0.7827
7,0.6036884415435791,0.7879
8,0.5537063728523255,0.7964
9,0.5134753665256501,0.8122
10,0.4751217804336548,0.8192
