epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.003333333333333333,0.7211197374661763,0.7511833333333333,0.5303178678989411,0.8078
2,0.006666666666666666,0.47359397149085997,0.8307666666666667,0.45324631061553955,0.8374
3,0.01,0.4072084484100342,0.8546166666666667,0.42072528071403503,0.8489
4,0.01,0.37305041890144347,0.8637666666666667,0.4360131373882294,0.8416
5,0.01,0.3381011924266815,0.8765166666666667,0.38032960362434387,0.8592
6,0.01,0.32358795994122824,0.8806666666666667,0.39228173303604125,0.8548
7,0.01,0.3069278979142507,0.8870666666666667,0.36345076830387113,0.8689
8,0.01,0.2943559449593226,0.8909166666666667,0.3582786217212677,0.8685
9,0.01,0.27902032947540284,0.8976333333333333,0.3428941354036331,0.8755
10,0.01,0.27522075500090915,0.8970833333333333,0.35499669225215913,0.8694
