epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.0003333333333333333,0.651852555735906,0.7801,0.47264503149986264,0.8295
2,0.0006666666666666666,0.42061086592674257,0.8470333333333333,0.4335160279273987,0.8433
3,0.001,0.3655395697196325,0.8687,0.38378636140823363,0.8595
4,0.001,0.336432541847229,0.8766833333333334,0.407394957780838,0.8506
5,0.001,0.30958315879503884,0.8865166666666666,0.36199603338241576,0.8721
6,0.001,0.29586532174746194,0.8895666666666666,0.36815024015903475,0.864
7,0.001,0.27832894638379413,0.8966666666666666,0.3632210681438446,0.8726
8,0.001,0.2648492562691371,0.8994166666666666,0.32736763179302214,0.8811
9,0.001,0.24995056657791137,0.9066833333333333,0.3594061032772064,0.8687
10,0.001,0.24367276290257772,0.908,0.34127363924980164,0.8781
