epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.001,3.0795998573303223,0.375,4.351333141326904,0.6666666666666666
2,0.001,4.045917510986328,0.6666666666666666,5.430964469909668,0.3333333333333333
3,0.001,5.0948486328125,0.3333333333333333,2.928528070449829,0.6666666666666666
4,0.001,2.6291003227233887,0.6666666666666666,1.1437225341796875,0.6666666666666666
5,0.001,0.8860477209091187,0.6666666666666666,0.9270211458206177,0.7666666666666667
6,0.0005,0.878557562828064,0.675,1.371331810951233,0.6333333333333333
7,0.0005,1.3099199533462524,0.6666666666666666,1.157548427581787,0.6333333333333333
8,0.0005,1.0428739786148071,0.65,0.5942113995552063,0.7333333333333333
9,0.0005,0.43262264132499695,0.7833333333333333,0.4514661431312561,0.8
10,0.0005,0.25690504908561707,0.9333333333333333,0.8633571863174438,0.6333333333333333
