epoch,train_loss,test_acc
1,1.6117874081420898,0.4726
2,1.07255885055542,0.6817
3,0.8433650204467773,0.7405
4,0.7153135240936279,0.748
5,0.6251436124801636,0.7801
6,0.5449065277862549,0.8075
7,0.48600348638534546,0.8249
8,0.43286402770996096,0.8378
9,0.39205705221176146,0.8528
10,0.3598389312648773,0.8601
