epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.01,0.6299814543565114,0.7782333333333333,0.4768901091337204,0.821
2,0.00905463412215599,0.4217658517837524,0.8459666666666666,0.4299939103603363,0.8434
3,0.006579634122155991,0.3642553896109263,0.8680666666666667,0.4025572391986847,0.8524
4,0.0035203658778440107,0.33825301966667176,0.87735,0.3770783068180084,0.8624
5,0.0010453658778440107,0.3184896994749705,0.8834166666666666,0.37309219722747805,0.8647
6,0.01,0.35100147344271343,0.87205,0.4075371440172195,0.8499
7,0.00905463412215599,0.3275670415401459,0.8802,0.3818903079509735,0.8602
8,0.006579634122155991,0.3024121753056844,0.88805,0.3534284803390503,0.8691
9,0.0035203658778440107,0.28047753167152406,0.8960833333333333,0.34520574402809145,0.8762
10,0.0010453658778440107,0.2646784102042516,0.9020333333333334,0.34397746431827547,0.876
