epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.01,0.4710584477742513,0.8546666666666667,0.19773280119895936,0.9413
2,0.00905463412215599,0.17094734933376313,0.9481166666666667,0.15168596758842467,0.953
3,0.006579634122155991,0.12498494588931401,0.96305,0.12819415006637574,0.9591
4,0.0035203658778440107,0.10088417618870735,0.97015,0.11298954734802247,0.9655
5,0.0010453658778440107,0.08813770535786947,0.9743,0.10828808398246766,0.967
6,0.01,0.09806079425811767,0.97045,0.1187467025756836,0.9625
7,0.00905463412215599,0.08213726361989974,0.9750833333333333,0.09573117346763611,0.9685
8,0.006579634122155991,0.06693532840808232,0.9796333333333334,0.09370616955757141,0.9714
9,0.0035203658778440107,0.05240600576599439,0.9851,0.09094244766235351,0.9717
10,0.0010453658778440107,0.04519203182260195,0.9871833333333333,0.08562223815917969,0.9736
