epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.0003333333333333333,3.0795998573303223,0.375,1.6899455785751343,0.3333333333333333
2,0.0006666666666666666,1.38714599609375,0.3333333333333333,1.9466173648834229,0.6666666666666666
3,0.001,1.7017618417739868,0.6583333333333333,1.7551782131195068,0.43333333333333335
4,0.001,1.5463231801986694,0.48333333333333334,0.3369044065475464,0.8
5,0.001,0.25243768095970154,0.8666666666666667,0.4747403860092163,0.8
6,0.001,0.4059962034225464,0.8,0.3180120587348938,0.9
7,0.001,0.18977101147174835,0.95,0.5823107957839966,0.7333333333333333
8,0.001,0.3451712727546692,0.8583333333333333,0.5565264225006104,0.7333333333333333
9,0.001,0.303324431180954,0.875,0.5606100559234619,0.7333333333333333
10,0.001,0.3141838610172272,0.8833333333333333,0.5860170722007751,0.6666666666666666
