epoch,train_loss,test_acc
1,1.6117874081420898,0.4726
2,1.074701660194397,0.6779
3,0.8501611894607544,0.7416
4,0.7325719018936158,0.6997
5,0.6533786843490601,0.7691
6,0.5876515515136719,0.7862
7,0.5453034693145752,0.7824
8,0.5014235534286499,0.8073
9,0.4693570428943634,0.8266
10,0.4336697108078003,0.8344
