epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.001,3.0795998573303223,0.375,4.351333141326904,0.6666666666666666
2,0.0009140576474687263,4.045917510986328,0.6666666666666666,5.104830265045166,0.3333333333333333
3,0.0006890576474687264,4.779004096984863,0.3416666666666667,3.1780221462249756,0.6666666666666666
4,0.0004109423525312737,2.8615500926971436,0.6666666666666666,2.3307063579559326,0.6666666666666666
5,0.00018594235253127368,2.035949945449829,0.6666666666666666,1.8259214162826538,0.6666666666666666
6,0.001,1.5449298620224,0.6666666666666666,0.8940180540084839,0.7666666666666667
7,0.0009140576474687263,0.8595040440559387,0.675,2.3742973804473877,0.6666666666666666
8,0.0006890576474687264,2.368962287902832,0.6583333333333333,2.501539707183838,0.6
9,0.0004109423525312737,2.44325590133667,0.65,2.0454697608947754,0.6
10,0.00018594235253127368,1.9705028533935547,0.6416666666666667,1.6603474617004395,0.6
